城市,09/25星期日,09/26星期一,09/27星期二,09/28星期三,09/29星期四,09/30星期五,10/01星期六
基隆市,25~26,24~29,24~29,24~28,24~28,24~28,24~28
臺北市,25~26,24~32,24~32,24~32,24~30,24~30,24~30
新北市,26~27,25~32,24~32,24~32,24~31,24~31,25~31
桃園市,26~28,25~33,24~33,24~33,24~31,24~31,24~31
新竹市,28~29,25~32,25~33,25~32,25~31,25~32,25~31
新竹縣,27~29,25~33,24~34,24~33,25~32,24~32,24~32
苗栗縣,28~30,24~33,24~33,24~31,24~31,24~32,24~32
臺中市,30~33,26~34,26~34,26~33,26~33,26~33,26~33
彰化縣,29~31,26~33,25~33,26~32,26~32,25~32,26~32
南投縣,30~33,25~34,24~33,25~33,24~33,24~33,25~32
雲林縣,29~33,25~34,25~33,25~33,25~32,24~32,24~32
嘉義市,29~33,24~35,24~34,24~33,24~33,24~33,24~32
嘉義縣,29~33,25~34,25~34,25~33,25~32,25~32,25~32
臺南市,30~32,27~32,27~31,26~31,26~31,26~31,26~31
高雄市,30~32,28~32,27~32,27~32,27~32,27~32,27~32
屏東縣,29~33,26~33,25~33,25~33,25~32,25~33,25~32
宜蘭縣,26~27,24~31,23~31,23~30,23~30,24~30,23~30
花蓮縣,28~30,24~31,24~31,24~31,24~31,24~31,24~31
臺東縣,28~31,25~31,25~31,25~31,24~31,25~31,25~31
澎湖縣,28~30,26~31,26~31,26~31,26~31,26~31,26~31
金門縣,27~31,26~32,26~32,26~32,26~32,26~32,26~32
連江縣,25~27,24~28,25~29,25~29,25~30,25~30,25~30
